genes,logFC,logCPM,LR,PValue,FDR,bnumber
aaeA,-0.278941451192498,4.07642307301843,1.818347562249,0.177510096897654,0.405214645085079,b3241
aaeB,-0.022145075248307,4.20040625927843,0.00891441961640105,0.924778544211455,0.977991805203055,b3240
aaeR,-0.324341473391262,5.92542169147878,2.80664033642048,0.0938747857522849,0.26678573720369,b3243
aaeX,-0.70354748889612,4.15805789913284,5.20689035902079,0.0224975384881021,0.0906994010742905,b3242
aas,-0.331918500584651,6.1768889805547,2.88716934603844,0.0892876750222237,0.257260485937948,b2836
aat,0.321587524456644,5.51676710268144,3.0241750831214,0.0820320277497914,0.244679784427727,b0885
abgA,-0.225951067257372,2.25639681187453,0.319238111763821,0.572065871981004,0.796008064633869,b1338
abgB,-0.164739269961389,3.70574457383289,0.312562898320726,0.576111730368664,0.799489950016297,b1337
abgR,-0.191498898544348,3.22078961611969,0.455746751723833,0.499618471955691,0.750031290449392,b1339
abgT,-0.0778262847798025,3.10895341483319,0.0614028035281979,0.804292334416619,0.924782967743564,b1336
abrB,-1.38991553362115,4.25139384096771,47.6777284738484,5.02366403600239e-12,7.45608418264409e-11,b0715
accA,0.0265473188773227,8.28131489761804,0.0210377294803674,0.884676220443599,0.962689996496826,b0185
accB,-0.435318593387088,8.56896069903022,3.66799244279979,0.0554669558126386,0.183011292708011,b3255
accC,-0.454609856190946,9.17677860374056,3.25940396118559,0.0710149347569896,0.219551541313843,b3256
accD,0.0879485548369675,9.29268378783742,0.196521052371374,0.657543729090781,0.851054151040466,b2316
aceA,1.92741463663057,11.7548105901355,64.287554767291,1.07522778583999e-15,1.91107358314523e-14,b4015
aceB,1.25268456807472,12.1583283772474,34.4455692321202,4.38339490595564e-09,5.42460819450499e-08,b4014
aceE,4.06008068022827,13.0287389064412,198.93077510444,3.57407576783261e-45,1.8376706239606e-43,b0114
aceF,3.96477652200717,12.2000696716397,220.929361003703,5.67111112510659e-50,3.5497868042515e-48,b0115
aceK,1.90224215530701,8.93021685967802,76.764542312352,1.92604783775277e-18,3.6971558272241e-17,b4016
ackA,-1.33024111358774,10.6687255988613,27.1088158060501,1.92318909546903e-07,1.95441263607783e-06,b2296
acnA,2.38889991215062,8.86196920388566,118.41377554744,1.40741145798595e-27,3.72920864235663e-26,b1276
acnB,3.77650983376081,11.171235081835,223.52631403655,1.53897548656679e-50,9.92064944251039e-49,b0118
acpP,0.0671056550329431,10.6770673748582,0.107688717435337,0.74279099892303,0.890163821390846,b1094
acpS,-0.673436370075129,4.95333879588609,12.9532148771669,0.000319372576200181,0.00204654325906318,b2563
acpT,-0.312933006867446,5.56468169971106,2.69025331200804,0.10096376218172,0.278812333032512,b3475
acrA,0.147827241582371,7.83210295493791,0.591932681308258,0.441672734498964,0.702001127458422,b0463
acrB,0.251402608086362,8.98164389861122,1.52202220077628,0.217313730303816,0.463953534939288,b0462
acrB,0.251402608086362,8.98164389861122,1.52202220077628,0.217313730303816,0.463953534939288,b3699
acrD,-0.257082422919366,5.29202303767046,1.57041284252659,0.210147069101298,0.453359236487765,b2470
acrE,-0.548691090343542,2.35602781175269,1.47791968651262,0.224100290498415,0.47283300178928,b3265
acrE,-0.548691090343542,2.35602781175269,1.47791968651262,0.224100290498415,0.47283300178928,b0462
acrF,-0.211374820784974,4.41909013057346,0.693526950417756,0.404967318703874,0.667832703124106,b3266
acrR,0.106440969569514,5.62959064152903,0.249179806070012,0.617653194166266,0.828174257407375,b0464
acs,3.4139571832856,5.81147836585946,158.437583736503,2.48329114547148e-36,9.40818812043098e-35,b4069
actP,1.33231202920287,4.10539331231342,23.817827073251,1.05897130679481e-06,9.79378388446847e-06,b4067
ada,-0.302830953048698,5.35700186597962,2.89053890233331,0.0891011172362488,0.25689434268582,b2213
add,0.279840616984952,4.90167050001521,1.93144751119639,0.164600166870831,0.38427465984601,b1623
